time,id_s,iq_s,vd_s,vq_s,W,T
0.0206,1.112415458,0.939968956,32.99589274,374.1362556,94.02606714,0.107415453
0.0207,1.116562394,0.981891394,18.87118444,375.1140427,94.0295333,0.107298915
0.0208,1.119112125,1.023935731,4.719659156,375.5587723,94.03299259,0.106986252
0.0209,1.120061366,1.066041674,-9.438573024,375.4698124,94.03643865,0.106476244
0.021,1.119409105,1.108148856,-23.58339247,374.8472893,94.0398651,0.105767953
0.0211,1.117156605,1.150196922,-37.69469863,373.6920876,94.04326552,0.104860723
0.0212,1.113307405,1.192125614,-51.75243857,372.0058491,94.04663347,0.103754182
0.0213,1.10786731,1.233874856,-65.73663545,369.7909699,94.04996252,0.10244825
0.0214,1.100844385,1.27538484,-79.62741698,367.0505975,94.05324623,0.100943138
0.0215,1.092248941,1.31659611,-93.40504359,363.7886261,94.05647817,0.099239351
0.0216,1.082093524,1.357449649,-107.0499365,360.0096912,94.05965194,0.09733769
0.0217,1.07039289,1.39788696,-120.5427056,355.7191628,94.06276116,0.095239252
0.0218,1.05716399,1.437850149,-133.864177,350.923138,94.0657995,0.092945435
0.0219,1.042425942,1.477282008,-146.99542,345.6284322,94.06876066,0.090457933
0.022,1.026200005,1.516126099,-159.9177745,339.8425695,94.07163844,0.087778739
0.0221,1.008509545,1.554326828,-172.612877,333.573772,94.07442666,0.084910143
0.0222,0.989380006,1.591829529,-185.0626873,326.8309478,94.07711926,0.081854733
0.0223,0.968838872,1.628580537,-197.2495133,319.623679,94.07971024,0.078615392
0.0224,0.946915625,1.664527268,-209.156037,311.9622074,94.08219372,0.075195296
0.0225,0.923641704,1.699618294,-220.7653385,303.8574205,94.0845639,0.071597913
0.0226,0.899050463,1.733803409,-232.0609203,295.3208356,94.08681512,0.067826998
0.0227,0.873177117,1.767033709,-243.0267309,286.3645836,94.08894184,0.06388659
0.0228,0.846058699,1.799261654,-253.6471873,277.0013918,94.09093865,0.059781012
0.0229,0.817734,1.83044114,-263.907197,267.2445659,94.09280029,0.055514859
